PROVINCE,DISTRICT,DISTRICT_N,DATE,CATEGORY,LATITUDE,LONGITUDE,RADIUS,TWITTER
EC,BUF,Buffalo City,2019-06-25,A,-32.87480503396364,27.619355144681997,43.25483786660941,"-32.874805,27.619355,43.254838km"
EC,DC10,Sarah Baartman,2019-06-25,C,-33.44926499986502,24.935649999786207,204.16273009974967,"-33.449265,24.935650,204.162730km"
EC,DC12,Amathole,2019-06-25,C,-32.270769999884685,27.491079997670816,152.14563174798343,"-32.270770,27.491080,152.145632km"
EC,DC13,Chris Hani,2019-06-25,C,-31.599912675667408,26.44414785359448,183.80911729663762,"-31.599913,26.444148,183.809117km"
EC,DC14,Joe Gqabi,2019-06-25,C,-30.98216486785629,27.035468987326116,159.3678244204226,"-30.982165,27.035469,159.367824km"
EC,DC15,O.R.Tambo,2019-06-25,C,-31.494534339469013,29.17791084984431,85.72342298746251,"-31.494534,29.177911,85.723423km"
EC,DC44,Alfred Nzo,2019-06-25,C,-30.68559498630127,29.20078498804856,102.26776216168805,"-30.685595,29.200785,102.267762km"
EC,NMA,Nelson Mandela Bay,2019-06-25,A,-33.81060999913542,25.530187500815593,32.871241997461645,"-33.810610,25.530188,32.871242km"
FS,DC16,Xhariep,2019-06-25,C,-29.965350092255314,25.889270959508057,151.5642995002668,"-29.965350,25.889271,151.564300km"
FS,DC18,Lejweleputswa,2019-06-25,C,-28.437163345108754,26.11933077536037,136.12265549108085,"-28.437163,26.119331,136.122655km"
FS,DC19,Thabo Mofutsanyane,2019-06-25,C,-28.481165005429034,28.378839991916166,168.79442360014292,"-28.481165,28.378840,168.794424km"
FS,DC20,Fezile Dabi,2019-06-25,C,-27.080809754480885,27.769276033955478,123.54479606052743,"-27.080810,27.769276,123.544796km"
FS,MAN,Mangaung,2019-06-25,A,-29.44366144188552,26.481559057516602,88.26066518325466,"-29.443661,26.481559,88.260665km"
GT,DC42,Sedibeng,2019-06-25,C,-26.557204996606398,28.217724998695886,65.9265981800475,"-26.557205,28.217725,65.926598km"
GT,DC48,West Rand,2019-06-25,C,-26.22968499880936,27.56677500023581,51.9278115045587,"-26.229685,27.566775,51.927812km"
GT,EKU,Ekurhuleni,2019-06-25,A,-26.20127795811702,28.326160370935696,32.88717414572775,"-26.201278,28.326160,32.887174km"
GT,JHB,City of Johannesburg,2019-06-25,A,-26.201709992879618,27.970380002248525,35.131816918443874,"-26.201710,27.970380,35.131817km"
GT,TSH,City of Tshwane,2019-06-25,A,-25.68461526363982,28.484779812273832,63.228865924932535,"-25.684615,28.484780,63.228866km"
KZN,DC21,Ugu,2019-06-25,C,-30.46322193806273,30.168073974673533,60.1590007373763,"-30.463222,30.168074,60.159001km"
KZN,DC22,Umgungundlovu,2019-06-25,C,-29.469284892322975,30.112073380257833,79.30240997621137,"-29.469285,30.112073,79.302410km"
KZN,DC23,Uthukela,2019-06-25,C,-28.62310493900148,29.60567000429704,72.92967487211172,"-28.623105,29.605670,72.929675km"
KZN,DC24,Umzinyathi,2019-06-25,C,-28.61647047742063,30.60692109845189,73.45506772013056,"-28.616470,30.606921,73.455068km"
