Lockdown Day;Date;Context;;
;01-Mar-20;The first patient later confirmed with�COVID-19�in South Africa, returned to South Africa;;
;02-Mar-20;;;
;03-Mar-20;The patient reported with symptoms to a private general practitioner;;
;04-Mar-20;;;
;05-Mar-20;First confirmed case announced;;
;06-Mar-20;;;
;07-Mar-20;A woman from the same travel group from Italy, returning to Gauteng, also tested positive;;
;08-Mar-20;;;
;09-Mar-20;;;
;10-Mar-20;;;
;11-Mar-20;6 new cases were reported, first Western Cape;;
;12-Mar-20;First case in Mpumalanga;;
;13-Mar-20;JSE lost 15% of its value in the week ending;;
;14-Mar-20;South Africans were repatriated from Wuhan, China, and placed under observation;;
;15-Mar-20;The first local transmission / President Cyril Ramaphosa declared a national state of disaster, prohibiting gatherings of more than 100 people;;
;16-Mar-20;;;
;17-Mar-20;local transmission government labs, 4 in Gauteng, 3 in KwaZulu-Natal, and 1 in the Western Cape /convened the inaugural meeting of the National Command Council on COVID-19;;
;18-Mar-20;Nkosazana Dlamini-Zuma signed a government gazette limiting the number of patrons at pubs, clubs, and restaurants to 50 /  Schools were closed , resuming early June and unis closed according to discretion. 100 confirmed cases;;
;19-Mar-20;Health Minster announces that Two-thirds of the population could become infected / some retailers put limitations on the number of certain items customers could buy / gov puts in place price control on certain items /  Lesetja Kganyago announced a reduction of the country's repo rate by 100 basis points or 1 percentage point to 5.25%;;
;20-Mar-20;OR Tambo instituted isolation of foreigners on arrival and returning them to their countries of origin;;
;21-Mar-20;Eastern Cape first case;;
;22-Mar-20;Standard Bank announced a 90-day payment holiday for small and medium-sized business.;;
;23-Mar-20;A national 21-day lockdown was announced by President Ramaphosa to begin on 26 March to 16 April (later refered to as a 'hard lockdown' or 'level 5');;
;24-Mar-20;All nine provinces had confirmed cases;;
;25-Mar-20;;;
;26-Mar-20;;;
1;27-Mar-20;START OF LOCKDOWN Country's first death was announced. 1000 confirmed cases;;
2;28-Mar-20;;;
3;29-Mar-20;;;
4;30-Mar-20;The government announced its intentions of initiating an enhanced screening and testing programme;;
5;31-Mar-20;;;
6;01-Apr-20;Release genetic sequence Of the virus in a South African patient;;
7;02-Apr-20;;;
8;03-Apr-20;(IPID) reported that they were investigating eight deaths involving the police;;
9;04-Apr-20;;;
10;05-Apr-20;;;
11;06-Apr-20;;;
12;07-Apr-20;;;
13;08-Apr-20; communication minister was put on special leave for two months, one without pay, for violating lockdown regulations;;
14;09-Apr-20;President, Deputy President, Ministers and Deputy Ministers would donate one-third of their salaries for three months to a solidarity fund / the St Augustine's Hospital in Durban was shut down following a localised outbreak of over 60 confirmed cases / considerably lower than test then other countries / two week extesnion ;;
15;10-Apr-20;Mkhize recommended that the general public use�cloth facemasks in public;;
16;11-Apr-20;;;
17;12-Apr-20;nine people had died due to police and army action;;
18;13-Apr-20;MAC chair indicated that the lockdown had been effective in delaying transmissions / criteria for easing lock down indicated. ;;
19;14-Apr-20;;;
20;15-Apr-20;;;
21;16-Apr-20;;;
22;17-Apr-20;;;
23;18-Apr-20;;;
24;19-Apr-20;;;
25;20-Apr-20;;;
26;21-Apr-20;President Ramaphosa addresses the nation, announcing that R500bn will be injected into economic relief funds to support those who have been economically impaired due to the Covid-19 lockdown;;
27;22-Apr-20;;;
28;23-Apr-20;President Ramaphosa announced that the sale of tobacco would be re-legalised (this was contradicted later). Alert-level strategy was announced. ;;
29;24-Apr-20;;;
30;25-Apr-20;;;
31;26-Apr-20;;;
32;27-Apr-20;The Office of the United Nations High Commissioner for Human Rights expressed concerns about the heavy handed and highly militarised enforcement of COVID-19 related lockdown measures / 217 Cuban medical health specialists (mostly doctors) arrived in South Africa;;
33;28-Apr-20;;;
34;29-Apr-20;sale of tobacco statement was contradicted by Minister Dlamini-Zuma. The South African Social Security Agency (SASSA) announces a Covid-19 relief fund that will allow monthly grants of R350 to those who qualify from May-October. ;;
35;30-Apr-20;Ramaphosa received a consignment of personal protective equipment (PPE) donated by global internet group Naspers / the government confirmed that a total of five people were alleged to have been killed by police within the first three weeks of the lock down along;;
36;01-May-20;STAGE 4 BEGINS;;
37;02-May-20;;;
38;03-May-20;;;
